nama_lokasi,area,jenis_restaurant,harga,latitude,longitude
"Artotel Jakarta, Lantai 7, Jl. Sunda No. 3, Thamrin, Jakarta",Jakarta,"Continental, Indonesian",300000,-6.188851,106.824792
"Pullman Jakarta Indonesia, Jl. M.H. Thamrin 59, Thamrin, Jakarta",Jakarta,"Japanese, Chinese, Western, Indonesian",750000,-6.193305,106.823805
"Jl. Dr. Kusuma Atmaja No. 77-79, Thamrin, Jakarta",Jakarta,Jawa,400000,-6.197871,106.824284
"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta 10310",Jakarta,"Chinese, Dimsum",650000,-6.196107,106.82364
"The Westin Jakarta, Lantai 67-69, Jl. H. R. Rasuna Said, Kuningan, Jakarta 12940",Jakarta,"Peruvian, Japanese",1400000,-6.224291644,106.8338167
"The Westin Jakarta, Jl. H. R. Rasuna Said, Kuningan, Jakarta",Jakarta,"Indonesian, Indian, Western",500000,-6.224321641,106.833693
"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta",Jakarta,French,800000,-6.196107,106.82364
"DoubleTree by Hilton Jakarta - Diponegoro, Jl. Pegangsaan Timur No. 17, Cikini - Menteng, Jakarta Pusat  10310",Jakarta,"European, Western, Asian",700000,-6.198954,106.843099
"Jl. Teuku Umar No. 1, Menteng, Jakarta",Jakarta,"Betawi, Jawa, Western, Indonesian",500000,-6.188833,106.833474
"Jl. Irian No.18, Thamrin, Jakarta 10350",Jakarta,"Grill, South American",250000,-6.191856,106.824136
"Sari Pacific Hotel, Jl. M. H. Thamrin No. 6, Thamrin, Jakarta 10340",Jakarta,"Sushi, Ramen, Japanese",650000,-6.185416,106.824023
"Jl. Surabaya No. 20, Cikini, Jakarta",Jakarta,Coffee,170000,-6.198919,106.839463
"Raffles Jakarta, Jl. Prof. Dr. Satrio No. 3 - 5, Karet, Jakarta 12940",Jakarta,"Western, Dimsum",450000,-6.224671272,106.8240796
"Jl. H.O.S. Cokroaminoto No. 42, Menteng, Jakarta",Jakarta,Indonesian,500000,-6.191949,106.828576
"The Hermitage, Lantai 9. Jl. Cilacap No. 1, Menteng, Jakarta 10310",Jakarta,"Finger Food, Western",650000,-6.19828,106.838072
"Jl. Teuku Cik Ditiro No. 25, Menteng, Jakarta",Jakarta,Burger,250000,-6.197107,106.837073
"Jl. Pegangsaan Barat No. 4, Cikini, Jakarta",Jakarta,"Coffee, Indonesian",200000,-6.197678,106.839749
"Taman Impian Jaya Ancol, Jl. Lodan Timur, Ancol, Jakarta 14430",Jakarta,Seafood,250000,-6.122449,106.843428
"Hotel Mandarin Oriental, Jakarta, Jl. M. H. Thamrin, Thamrin, Jakarta",Jakarta,"Asian, Western",600000,-6.196107,106.82364
"Jl. Teuku Cik Ditiro No. 35, Menteng, Jakarta",Jakarta,Indonesian,750000,-6.1985,106.837354
"Shangri-La Hotel, Jl. Jendral Sudirman Kav. 1, Sudirman, Jakarta",Jakarta,"Indonesian, Western",550000,-6.203053691,106.8187926
"Jl. Veteran I No. 10, Gambir, Jakarta",Jakarta,"Ice Cream, Desserts",60000,-6.170174992,106.8298839
"Fairmont Jakarta, Jl. Asia Afrika No. 8, Senayan, Jakarta",Jakarta,Western,1300000,-6.221911212,106.7986429
