nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
1001 Entertainment Club,"Jl. Kunir No. 7, Pinangsia",PT. Perkasa Tunggal Mandiri,Stanislaus Raymer Jacob,Jakarta Barat,Restoran
9 Square Pool & Resto,Jl. Anggrek Cakra No. 7 RT004/RW006,PT. Linijati Arthaprima,Novarmi Bakti Massewa,Jakarta Barat,Restoran
99,Jl. Mangga Besar Raya No. 2B,Martin Santoso,Martin Santoso,Jakarta Barat,Restoran
A & W Family,"Jl. Kamal Raya Outer Ring Road, Cengkareng",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,Jl. Pancoran No. 23,PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Roxi Square, Jl. Kyai Tapa 1 RT001/RW011",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,Jl. Mangga Besar Raya No. 81,PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Ruko Meruya One Unit 1B,1C,1D, Jl. Meruya Ilir",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Matahari Mal, Jl. Daan Mogot Km. 15,6",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,Jl. Tomang Tol Raya Blok I No. 23-25,PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Mal Ciputra LG 43, Jl. Letjen.S. Parman",PT. Biru Fast Food Nusantara Ltd.,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Stasiun KA Beos, Jl. Taman Stasiun Kota",PT. Biru Fast Food Nusantara Ltd,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Seasons City, Jl. Prof. Dr. Latumenten No. 33",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
A & W Family,"Gd. Carrefour, Jl. Puri Kembangan B.Q/1",PT. Prima Usaha Era Mandiri,Zaina Siman,Jakarta Barat,Restoran
